Company Name,Account Id,Website,Country,City,Street,State,Zip/Postal Code,Industry,Stock Symbol
Samsara,9d86d2a5-99c4-f011-bbd3-002248095f4f,,,"Phoenix, AZ",,,,,
Tinsman Agency,e59a16a8-99c4-f011-bbd3-000d3a329ac2,,,"Phoenix, AZ",,,,,
Total Quality Logistics,e99a16a8-99c4-f011-bbd3-000d3a329ac2,,,"Tempe, AZ",,,,,
PHMG,ea9a16a8-99c4-f011-bbd3-000d3a329ac2,,,"Phoenix, AZ",,,,,
Medasource,ed9a16a8-99c4-f011-bbd3-000d3a329ac2,,,"Phoenix, AZ",,,,,
"PMA USA (Performance Matters Associates, Inc.)",ee9a16a8-99c4-f011-bbd3-000d3a329ac2,,,"Phoenix, AZ",,,,,
AVEVA,a19bcdab-99c4-f011-bbd3-002248095f4f,,,"Scottsdale, AZ",,,,,
General Dynamics Mission Systems,f29a16a8-99c4-f011-bbd3-000d3a329ac2,,,"Scottsdale, AZ",,,,,
American Express,fbd91fae-99c4-f011-bbd3-000d3a329ac2,,,"Phoenix, AZ",,,,,
Axon,b89bcdab-99c4-f011-bbd3-002248095f4f,,,"Scottsdale, AZ",,,,,
E-Solutions,c79bcdab-99c4-f011-bbd3-002248095f4f,,,United States,,,,,
My Dream Company,f3aee006-b2c4-f011-bbd3-6045bd02001e,,,,,,,,
